Symptom,Disease,Disease group (English name),Disease group (Sinhala name),Dosha types
Sweating after exertion,Atisveda,Sweat,Sveda-vāha,Pitta
Sweating during anxiety,Atisveda,Sweat,Sveda-vāha,Vata
Sweating during stress,Atisveda,Sweat,Sveda-vāha,Vata
Sweating during fear,Atisveda,Sweat,Sveda-vāha,Vata
Sweating during sleep,Atisveda,Sweat,Sveda-vāha,Kapha
Sweating during eating,Atisveda,Sweat,Sveda-vāha,Pitta
Sweating after spicy food,Atisveda,Sweat,Sveda-vāha,Pitta
Sweating after alcohol,Atisveda,Sweat,Sveda-vāha,Pitta
Sweating after hot drinks,Atisveda,Sweat,Sveda-vāha,Pitta
Sweating in warm climate,Atisveda,Sweat,Sveda-vāha,Pitta
Sweating in cold climate,Atisveda,Sweat,Sveda-vāha,Vata
Sweating in humid climate,Atisveda,Sweat,Sveda-vāha,Kapha
Reduced sweating,Asveda,Sweat,Sveda-vāha,Vata
Dry skin with no sweat,Asveda,Sweat,Sveda-vāha,Vata
Sweating stops suddenly,Asveda,Sweat,Sveda-vāha,Vata
Blocked sweat pores,Asveda,Sweat,Sveda-vāha,Kapha
Minimal sweating on exertion,Asveda,Sweat,Sveda-vāha,Vata
Minimal sweating during fever,Asveda,Sweat,Sveda-vāha,Vata
Uneven sweating,Asveda,Sweat,Sveda-vāha,Vata
Sweating reduced in limbs,Asveda,Sweat,Sveda-vāha,Vata
Sweating reduced in face,Asveda,Sweat,Sveda-vāha,Vata
Excessively foul sweat,Gandha Sveda,Sweat,Sveda-vāha,Pitta
Fishy odor sweat,Gandha Sveda,Sweat,Sveda-vāha,Pitta
Rancid odor sweat,Gandha Sveda,Sweat,Sveda-vāha,Kapha
Sweet odor sweat,Gandha Sveda,Sweat,Sveda-vāha,Kapha
Sour odor sweat,Gandha Sveda,Sweat,Sveda-vāha,Pitta
Ammonia-like odor sweat,Gandha Sveda,Sweat,Sveda-vāha,Pitta
Pungent odor sweat,Gandha Sveda,Sweat,Sveda-vāha,Pitta
Musty odor sweat,Gandha Sveda,Sweat,Sveda-vāha,Kapha
Rotten odor sweat,Gandha Sveda,Sweat,Sveda-vāha,Kapha
Salty odor sweat,Gandha Sveda,Sweat,Sveda-vāha,Pitta
Excessive sweating in armpits with odor,Gandha Sveda,Sweat,Sveda-vāha,Kapha
Excessive sweating in feet with odor,Gandha Sveda,Sweat,Sveda-vāha,Kapha
Excessive sweating in groin with odor,Gandha Sveda,Sweat,Sveda-vāha,Kapha
Sweat with sticky nature,Pichhila Sveda,Sweat,Sveda-vāha,Kapha
Sweat with oily texture,Sneha Sveda,Sweat,Sveda-vāha,Kapha
Sweat with frothy nature,Pichhila Sveda,Sweat,Sveda-vāha,Vata
Sweat with burning sensation,Daha Sveda,Sweat,Sveda-vāha,Pitta
Sweat with itching,Kandu Sveda,Sweat,Sveda-vāha,Kapha
Sweat with rashes,Visarpa,Sweat,Sveda-vāha,Pitta
Sweat with eruptions,Kushta,Sweat,Sveda-vāha,Pitta and Kapha
Sweat with boils,Pidaka,Sweat,Sveda-vāha,Pitta
Sweat with blisters,Pidaka,Sweat,Sveda-vāha,Pitta
Sweat with discoloration,Vaivarnya,Sweat,Sveda-vāha,Pitta
Yellow sweat,Pita Sveda,Sweat,Sveda-vāha,Pitta
Red-tinged sweat,Rakta Sveda,Sweat,Sveda-vāha,Pitta
Brownish sweat,Pitta Dushti,Sweat,Sveda-vāha,Pitta
Blackish sweat,Vata Dushti,Sweat,Sveda-vāha,Vata
Whitish sweat,Kapha Dushti,Sweat,Sveda-vāha,Kapha
Greenish sweat,Pitta Dushti,Sweat,Sveda-vāha,Pitta
Blue sweat,Vata Dushti,Sweat,Sveda-vāha,Vata
Sweating after chills,Jvara Sveda,Sweat,Sveda-vāha,Vata
Sweating with body ache,Jvara Sveda,Sweat,Sveda-vāha,Vata
Sweating with shivering,Jvara Sveda,Sweat,Sveda-vāha,Vata
Sweating with fainting,Murchha,Sweat,Sveda-vāha,Vata
Sweating with dizziness,Bhrama,Sweat,Sveda-vāha,Vata
Sweating with palpitations,Hridaya Vikara,Sweat,Sveda-vāha,Vata and Pitta
Sweating with chest pain,Hridaya Shoola,Sweat,Sveda-vāha,Vata and Pitta
Sweating with anxiety,Chittodvega,Sweat,Sveda-vāha,Vata
Sweating with fear,Bhaya Lakshana,Sweat,Sveda-vāha,Vata
Sweating with anger,Krodha Lakshana,Sweat,Sveda-vāha,Pitta
Sweating with depression,Vishada,Sweat,Sveda-vāha,Kapha
Sweating with epilepsy,Apasmara,Sweat,Sveda-vāha,Vata
Sweating with convulsions,Apasmara,Sweat,Sveda-vāha,Vata
Sweating with delirium,Unmada,Sweat,Sveda-vāha,Pitta
Sweating with heat stroke,Daha,Sweat,Sveda-vāha,Pitta
Sweating with dehydration,Trishna,Sweat,Sveda-vāha,Vata and Pitta
Sweating with giddiness,Bhrama,Sweat,Sveda-vāha,Vata
Sweating with nausea,Chhardi,Sweat,Sveda-vāha,Pitta
Sweating with vomiting,Chhardi,Sweat,Sveda-vāha,Pitta
Sweating with diarrhea,Atisara,Sweat,Sveda-vāha,Vata and Pitta
Sweating with constipation,Vibandha,Sweat,Sveda-vāha,Vata
Sweating with indigestion,Ajeerna,Sweat,Sveda-vāha,Kapha
Sweating with acid reflux,Amlapitta,Sweat,Sveda-vāha,Pitta
Sweating with ulcers,Shleshma-Pitta Dushti,Sweat,Sveda-vāha,Pitta
Sweating with jaundice,Kamala,Sweat,Sveda-vāha,Pitta
Sweating with anemia,Pandu,Sweat,Sveda-vāha,Vata and Pitta
Sweating with obesity,Medoroga,Sweat,Sveda-vāha,Kapha
Sweating with diabetes,Prameha,Sweat,Sveda-vāha,Kapha
Sweating with thyroid imbalance,Galaganda,Sweat,Sveda-vāha,Kapha
Sweating with liver disease,Yakrit Vikara,Sweat,Sveda-vāha,Pitta
Sweating with kidney disease,Vrikka Vikara,Sweat,Sveda-vāha,Vata
Sweating with skin rash,Kushta,Sweat,Sveda-vāha,Pitta and Kapha
Sweating with eczema,Kushta,Sweat,Sveda-vāha,Kapha
Sweating with psoriasis,Kushta,Sweat,Sveda-vāha,Pitta
Sweating with fungal infection,Dadru,Sweat,Sveda-vāha,Kapha
Sweating with boils,Pidaka,Sweat,Sveda-vāha,Pitta
Sweating with abscess,Pidaka,Sweat,Sveda-vāha,Pitta
Sweating with urticaria,Sheetapitta,Sweat,Sveda-vāha,Vata and Pitta
Sweating with prickly heat,Lavana Sveda,Sweat,Sveda-vāha,Pitta
Sweating with burning feet,Padadaha,Sweat,Sveda-vāha,Pitta
Sweating with burning hands,Hastadaha,Sweat,Sveda-vāha,Pitta
Sweating with tingling,Supti Lakshana,Sweat,Sveda-vāha,Vata
Sweating with numbness,Supti Lakshana,Sweat,Sveda-vāha,Vata
Sweating with weakness after exertion,Daurbalya,Sweat,Sveda-vāha,Vata
Sweating with fatigue,Klanti,Sweat,Sveda-vāha,Vata
Sweating with lethargy,Alasya,Sweat,Sveda-vāha,Kapha
Sweating with body heaviness,Gaurava,Sweat,Sveda-vāha,Kapha
Chronic recurrent fever,Vishama Jvara,thermoregulation,Sveda-vāha,Vata and Pitta
Sudden onset fever,Atyayika Jvara,thermoregulation,Sveda-vāha,Pitta
Fever with chills,Sheetaj Jvara,thermoregulation,Sveda-vāha,Vata and Kapha
Fever with sweating,Sweda Jvara,thermoregulation,Sveda-vāha,Pitta
Fever with shivering,Kampa Jvara,thermoregulation,Sveda-vāha,Vata
Daytime sweats,Atisveda,thermoregulation,Sveda-vāha,Pitta
Absence of sweating,Asveda,thermoregulation,Sveda-vāha,Vata
Flushes of heat,Ushna Vega,thermoregulation,Sveda-vāha,Pitta
Chills without fever,Sheetaj Lakshana,thermoregulation,Sveda-vāha,Vata
Rigors,Sheetaj Jvara,thermoregulation,Sveda-vāha,Vata
Sudden body heat,Daha,thermoregulation,Sveda-vāha,Pitta
Excess body heat,Ushna Sharira,thermoregulation,Sveda-vāha,Pitta
Burning palms,Hastadaha,thermoregulation,Sveda-vāha,Pitta
Burning soles,Padadaha,thermoregulation,Sveda-vāha,Pitta
Burning chest,Urah Daha,thermoregulation,Sveda-vāha,Pitta
Burning stomach,Udara Daha,thermoregulation,Sveda-vāha,Pitta
Burning head,Shira Daha,thermoregulation,Sveda-vāha,Pitta
Hot body temperature,Ushna Sharira,thermoregulation,Sveda-vāha,Pitta
Cold hands,Sheetata Hasta,thermoregulation,Sveda-vāha,Vata
Cold feet,Sheetata Pada,thermoregulation,Sveda-vāha,Vata
Cold nose,Sheetata Nasa,thermoregulation,Sveda-vāha,Vata
Cold ears,Sheetata Karna,thermoregulation,Sveda-vāha,Vata
Fever with delirium,Unmada Jvara,thermoregulation,Sveda-vāha,Pitta
Fever with confusion,Moha Jvara,thermoregulation,Sveda-vāha,Pitta
Fever with fainting,Murchha Jvara,thermoregulation,Sveda-vāha,Vata
Fever with convulsions,Apasmara Jvara,thermoregulation,Sveda-vāha,Vata
Cyclical fever,Vishama Jvara,thermoregulation,Sveda-vāha,Vata
Tertian fever,Vishama Jvara,thermoregulation,Sveda-vāha,Vata
Quartan fever,Vishama Jvara,thermoregulation,Sveda-vāha,Vata
Continuous fever,Santata Jvara,thermoregulation,Sveda-vāha,Pitta
Relapsing fever,Vishama Jvara,thermoregulation,Sveda-vāha,Vata
Evening rise of temperature,Ratri Jvara,thermoregulation,Sveda-vāha,Pitta
Morning rise of temperature,Prataha Jvara,thermoregulation,Sveda-vāha,Kapha
Afternoon rise of temperature,Madhyahna Jvara,thermoregulation,Sveda-vāha,Pitta
Fever with sweating and weakness,Sweda Jvara,thermoregulation,Sveda-vāha,Vata and Pitta
Fever with body pain,Shula Jvara,thermoregulation,Sveda-vāha,Vata
Fever with headache,Shiro Jvara,thermoregulation,Sveda-vāha,Vata
Fever with burning eyes,Netra Daha,thermoregulation,Sveda-vāha,Pitta
Fever with thirst,Trishna Jvara,thermoregulation,Sveda-vāha,Pitta
Fever with nausea,Chhardi Jvara,thermoregulation,Sveda-vāha,Pitta
Fever with diarrhea,Atisara Jvara,thermoregulation,Sveda-vāha,Vata and Pitta
Fever with constipation,Vibandha Jvara,thermoregulation,Sveda-vāha,Vata
Sun stroke,Surya Daha,thermoregulation,Sveda-vāha,Pitta
Hypothermia,Ati Sheetata,thermoregulation,Sveda-vāha,Vata
Hyperthermia,Ati Ushnata,thermoregulation,Sveda-vāha,Pitta
Fluctuating body temperature,Vishama Ushna,thermoregulation,Sveda-vāha,Vata
Sudden temperature drop,Ati Sheetata,thermoregulation,Sveda-vāha,Vata
Sudden temperature rise,Ati Ushnata,thermoregulation,Sveda-vāha,Pitta
Persistent low temperature,Sheetaj Lakshana,thermoregulation,Sveda-vāha,Vata
Burning sensation during fever,Daha Jvara,thermoregulation,Sveda-vāha,Pitta
Sweating with foul odor,Gandha Sveda,thermoregulation,Sveda-vāha,Pitta
Sweating with no odor,Asveda,thermoregulation,Sveda-vāha,Vata
Sweating with oily texture,Sneha Sveda,thermoregulation,Sveda-vāha,Kapha
Sweating with stickiness,Pichhila Sveda,thermoregulation,Sveda-vāha,Kapha
Sweating with froth,Frothy Sveda,thermoregulation,Sveda-vāha,Vata
Excessive sweating with fatigue,Klanta Sveda,thermoregulation,Sveda-vāha,Vata
Reduced sweating with dryness,Roukshya Sveda,thermoregulation,Sveda-vāha,Vata
Excess sweating with burning,Daha Sveda,thermoregulation,Sveda-vāha,Pitta
Cold sweating with weakness,Daurbalya Sveda,thermoregulation,Sveda-vāha,Vata
Sweating with heat flashes,Daha Sveda,thermoregulation,Sveda-vāha,Pitta
Sweating in anxiety,Udvega Sveda,thermoregulation,Sveda-vāha,Vata
Sweating in fear,Bhaya Sveda,thermoregulation,Sveda-vāha,Vata
Sweating in stress,Chinta Sveda,thermoregulation,Sveda-vāha,Vata
Sweating in exertion,Sharira Shrama,thermoregulation,Sveda-vāha,Pitta
Sweating in sleep,Nidra Sveda,thermoregulation,Sveda-vāha,Kapha
Sweating in menopause,Rajonivritti Lakshana,thermoregulation,Sveda-vāha,Pitta
Hot body with chills,Ushna-Sheetata,thermoregulation,Sveda-vāha,Vata and Pitta
Cold body with fever,Sheetaj Jvara,thermoregulation,Sveda-vāha,Vata
Burning sensation in whole body,Sarva Daha,thermoregulation,Sveda-vāha,Pitta
Burning sensation in half body,Ardha Daha,thermoregulation,Sveda-vāha,Pitta
Feeling of cold in whole body,Sarva Sheetata,thermoregulation,Sveda-vāha,Vata
Feeling of cold in limbs,Anga Sheetata,thermoregulation,Sveda-vāha,Vata
Excessive thirst with fever,Trishna Jvara,thermoregulation,Sveda-vāha,Pitta
Loss of thirst in fever,Atrishna Jvara,thermoregulation,Sveda-vāha,Kapha
Shivering with teeth chattering,Danta Kampa,thermoregulation,Sveda-vāha,Vata
Alternating chills and fever,Vishama Jvara,thermoregulation,Sveda-vāha,Vata
Hot dry skin,Daha,thermoregulation,Sveda-vāha,Pitta
Fever with profuse sweat,Atisveda,thermoregulation,Sveda-vāha,Pitta
Fever with scanty sweat,Asveda,thermoregulation,Sveda-vāha,Vata
Chills with goosebumps,Loma Harsha,thermoregulation,Sveda-vāha,Vata
Excess body dryness,Roukshya,thermoregulation,Sveda-vāha,Vata
Excess body oiliness,Sneha,thermoregulation,Sveda-vāha,Kapha
Burning eyes during fever,Netra Daha,thermoregulation,Sveda-vāha,Pitta
Cold eyes during chills,Sheetata Netra,thermoregulation,Sveda-vāha,Vata
Thirstless fever,Kapha Jvara,thermoregulation,Sveda-vāha,Kapha
Sweating with heaviness,Gaurava Sveda,thermoregulation,Sveda-vāha,Kapha
Sweating with lightness,Laghu Sveda,thermoregulation,Sveda-vāha,Vata
Sudden sweat outburst,Atisveda,thermoregulation,Sveda-vāha,Pitta
Suppressed sweating,Asveda,thermoregulation,Sveda-vāha,Vata
Excessive sweating with odor,Gandha Sveda,thermoregulation,Sveda-vāha,Pitta
